english,zulu
a,a
able,ekwazi
about,mayelana
above,ngenhla
act,isenzo
add,ukwengeza
afraid,ngesaba
after,emva
again,futhi
against,ngokumelene
age,yobudala
ago,edlule
agree,uvume
air,air
all,konke
allow,uvumele
also,futhi
always,njalo
am,ngiyindlela
among,phakathi
an,an
and,futhi
anger,intukuthelo
animal,animal
answer,impendulo
any,yisiphi
appear,avele
apple,apula
are,kukhona
area,indawo
arm,ingalo
arrange,ukuhlela
arrive,finyelela
art,yobuciko
as,njengoba
ask,cela
at,at
atom,athomu
baby,umntwana
back,back
bad,okubi
ball,ngebhola
band,ibhande
bank,ebhange
bar,ibha
base,isiza
basic,eziyisisekelo
bat,nelulwane
be,kube
bear,athwale
beat,bhula
beauty,ubuhle
bed,embhedeni
been,kwaba
before,ngaphambi
began,waqala
begin,uqale
behind,ngemuva
believe,bakholwe
bell,insimbi
best,umhlabeleli
better,kangcono
between,emkhatsini
big,enkulu
bird,nyoni
bit,ihhashi
black,omnyama
block,isixa
blood,negazi
blow,igalelo
blue,eluhlaza
board,ebhodini
boat,isikebhe
body,umzimba
bone,amathambo
book,incwadi
born,uzalelwa
both,kokubili
bottom,ngezansi
bought,uthenge
box,ibhokisi
boy,mfana
branch,igatsha
bread,isinkwa
break,ukwephuka
bright,egqamile
bring,ukuletha
broad,ebanzi
broke,waphula
brother,umfowabo
brought,baletha
brown,onsundu
build,ukwakha
burn,bashise
busy,umatasa
but,kodwana
buy,thenga
by,by
call,call
came,weza
camp,ikamu
can,okusemandleni
capital,komkhulu
captain,ukaputeni
car,imoto
card,ikhadi
care,ukunakekelwa
carry,athwale
case,icala
cat,likati
catch,bamba
caught,babanjwa
cause,kwesizathu
cell,iseli
cent,angu
center,isikhungo
century,leminyaka
certain,ezithile
chair,isitulo
chance,chance
change,ushintsho
character,uhlamvu
charge,gcwalisa
chart,ishadi
check,hlola
chick,iphuphu
chief,abakhulu
child,ingane
children,izingane
choose,akhethe
chord,kuzithinta
circle,jikeleza
city,dolobha
claim,faka isicelo
class,ikilasi
clean,zihlanzekile
clear,ecacile
climb,enyuka
clock,washi
close,ngokuminyanisa
clothe,wembathise
cloud,ifu
coast,ugu
coat,isikhumba
cold,ezibandayo
collect,ukuqoqa
colony,koloni
color,umbala
column,ikholomu
come,uze
common,ezivamile
company,yenkampani
compare,qhathanisa
complete,kuqedile
condition,isimo
connect,xhuma
consider,cabangela
consonant,lehamba
contain,aqukethe
continent,izwekazi
continue,uqhubeke
control,amandla okuphatha
cook,umpheki
cool,abandayo
copy,ikhophi
corn,ukolweni
corner,ekhoneni
correct,lobenele
cost,izindleko
cotton,ukotini
could,okusemandleni
count,ukubala
country,izwe
course,inkambo
cover,embesa
cow,eyensikazi
crease,dile
create,ukudala
crop,isitshalo
cross,ukuwela
crowd,isixuku
cry,khala
current,yamanje
cut,ukusika
dad,ubaba
dance,dance
danger,ingozi
dark,amnyama
day,usuku
dead,efile
deal,intengo
dear,othandekayo
death,ukufa
decide,unqume
decimal,zamadesimali
deep,ezijulile
degree,ibanga
depend,bathembele
describe,uchaze
desert,hlamuka
design,songoza
determine,linqume
develop,ukuthuthukisa
dictionary,isichazamazwi
did,wenza
die,fa
differ,ihluke
difficult,nzima
direct,ngqo
discuss,uxoxe
distant,ezikude
divide,ahlukanisa
division,ukuhlukana
do,enza
doctor,udokotela
does,enza
dog,inja
dollar,izindodla zemali
done,wenziwe
don’t,ungenzi
door,umnyango
double,kabili
down,phasi
draw,udwebe
dream,baphuphe
dress,ingubo
drink,isiphuzo
drive,qhuba
drop,yokwehlisela
dry,eyomile
duck,idada
during,ngesikhatsi
each,ngamunye
ear,indlebe
early,zakuqala
earth,emhlabeni
ease,ekudambiseni
east,empumalanga
eat,udle
edge,emaphethelweni
effect,umphumela
egg,iqanda
eight,eziyisishiyagalombili
either,noma
electric,electric
element,isici
else,futhi
end,ukuphela
enemy,isitha
energy,amandla
engine,injini
enough,ngokwanele
enter,faka
equal,alinganayo
equate,bathi
especially,ikakhulukazi
even,yebo
evening,ukuhlwa
event,umcimbi
ever,njalo
every,njalo
exact,oluqondile
example,isibonelo
except,kuphela
excite,ethusa
exercise,umsebenzi
expect,bheka
experience,isipiliyoni
experiment,lokulinga
eye,iso
face,ubuso
fact,empeleni
fair,ukujabulisa
fall,awe
family,umndeni
famous,esidumile
far,le
farm,ipulazi
fast,bambelela
fat,inoni
father,ubaba
favor,siza
fear,kwesaba
feed,funga
feel,bazizwa
feet,izinyawo
fell,bawa
felt,wazizwa
few,ambalwa
field,ifusi
fig,komkhiwane
fight,impi
figure,ukulinganisa
fill,ukugcwalisa
final,sokugcina
find,thola
fine,emihle
finger,ngomunwe
finish,sekugcineni
fire,umlilo
first,okokuqala
fish,izinhlanzi
fit,linganisa
five,ezinhlanu
flat,ifulathi
floor,phansi
flow,kopoza
flower,mbali
fly,ijeka manzi
follow,ukulandela
food,ngokudla
foot,ngezinyawo
for,ngoba
force,isicindezelo
forest,ihlathi
form,ifomu
forward,phambili
found,wathola
four,ezine
fraction,ingxenyenamba
free,khulula
fresh,opholile
friend,umngani
from,kusuka
front,phambili
fruit,izithelo
full,egcwele
fun,kumnandi
game,mdlalo
garden,yensimu
gas,negesi
gather,hlangana
gave,wanikela
general,jikelele
gentle,mnene
get,uthole
girl,ntombazane
give,pha
glad,ithokoze
glass,ingilazi
go,hamba
gold,igolide
gone,esehambile
good,okuhle
got,wavuka
govern,phatha
grand,omkhulu
grass,utshani
gray,ezimpunga
great,okukhulu
green,oluhlaza
grew,lakhula
ground,emhlabathini
group,iqoqo
grow,ukhule
guess,ukuqagela
guide,umholi
gun,isibhamu
had,kwadingeka
hair,izinwele
half,isigamu
hand,isandla
happen,kwenzeke
happy,ojabulayo
hard,kanzima
has,ine
hat,imbenge
have,abe
he,yena
head,ikhanda
hear,zwa
heard,wezwa
heart,inhliziyo
heat,ukushisa
heavy,esindayo
held,owawuzoba
help,usize
her,wakhe
here,lapha
high,high
hill,igquma
him,naye
his,wakhe
history,umlando
hit,shaya
hold,ubambe
hole,emgodini
home,ikhaya
hope,ngethemba
horse,ihhashi
hot,esishisayo
hot,ashisayo
hour,ngehora
house,indlu
how,indlela
huge,omkhulu
human,womuntu
hundred,angamakhulu
hunt,ukuhlasela
hurry,shesha
i,i
ice,iqhwa
idea,umqondo
if,uma
imagine,imagine
in,in
inch,ngamasentimitha
include,zihlanganisa
indicate,khombisa
industry,imboni
insect,kwezinambuzane
instant,osheshayo
instrument,instrument
interest,isithakazelo
invent,usungula
iron,nensimbi
is,kuyinto
island,esiqhingini
it,it
job,umsebenzi
join,ukujoyina
joy,injabulo
jump,eqa
just,nje
keep,qhubeka
kept,igcinwe
key,isikhiye
kill,babulale
kind,uhlobo
king,inkosi
knew,wayazi
know,bazi
lady,inenekazi
lake,ichweba
land,izwe
language,lulwimi
large,ende
last,okokugcina
late,sekwephuzile
laugh,uhleko
law,umthetho
lay,walala
lead,kuholele
learn,ufunde
least,okungenani
leave,ushiye
led,wahola
left,kwesokunxele
leg,emlenzeni
length,ubude
less,esingaphansi
let,ake
letter,incwadi
level,izinga
lie,manga
life,kuphila
lift,baphakamisa
light,ukukhanya
like,like
line,line
liquid,uketshezi
list,uhlu
listen,ulalele
little,kancane
live,siphile
locate,thola
log,ugongolo
lone,oyedwa waba
long,eside
look,bhekani
lost,walahlekelwa
lot,uquqaba
loud,elikhulu
love,athande
low,ongaphakeme
machine,umshini
made,ezenziwe
magnet,uzibuthe
main,eziyinhloko
major,ezinkulu
make,ukwenza
man,man
many,abaningi
map,ibalazwe
mark,uphawu
market,indali
mass,isonto
master,induna
match,nomdlalo
material,material
matter,udaba
may,may
me,me
mean,asho
meant,wayesho
measure,ukulinganisa
meat,inyama
meet,hlangana
melody,ihubo
men,amadoda
metal,sensimbi
method,indlela
middle,maphakathi
might,izikhwepha
mile,lwamakhilomitha
milk,ubisi
million,isigidi
mind,kwengqondo
mine,emayini
minute,ngeminithi
miss,miss
mix,xuba
modern,yesimanje
molecule,ingqamuzana
moment,mzuzu
money,imali
month,ngenyanga
moon,inyanga
more,ngaphezulu
morning,ekuseni
most,iningi
mother,umama
motion,ukunyakaza
mount,khweza
mountain,ntaba
mouth,umlomo
move,ukuthutha
much,okuningi
multiply,phindaphinda
music,umculo
must,kumele
my,yami
name,igama
nation,isizwe
natural,natural
nature,isidalo
near,tsini
necessary,kunesidingo
neck,intamo
need,badinga
neighbor,umakhelwane
never,bonaze
new,omusha
next,olandelayo
night,ebusuku
nine,eyisishiyagalolunye
no,akukho
noise,ngomsindo
noon,emini
nor,noma
north,enyakatho
nose,impumulo
note,inothi
nothing,lutho
notice,isaziso
noun,ibizo
now,manje
number,inombolo
numeral,inani
object,intfo
observe,bona
occur,zenzeka
ocean,ulwandle olukhulu
of,of
off,off
offer,umnikelo
office,ihhovisi
often,ngokuvamile
oh,awu
oil,uwoyela
old,endala
on,on
once,kanye
one,eyodwa
only,kodwa
open,evulekile
operate,sebenzisa
opposite,obuhlukile
or,noma
order,oda
organ,sitho
original,sokuqala
other,ezinye
our,ethu
out,ukuphuma
over,phezu
own,siqu
oxygen,oksijini
page,page
paint,ukupenda
pair,okubili
paper,ephepheni
paragraph,indzima
parent,umzali
part,okuyingxenye
particular,ethile
party,inhlangano
pass,kudlula
past,esidlule
path,indlela
pattern,iphethini
pay,ukhokhe
people,abantu
perhaps,mhlawumbe
period,isikhathi
person,umuntu
phrase,isisho
pick,vuna
picture,yendaba
piece,ucezu
pitch,iphimbo
place,indawo
plain,ithafa
plan,hlela
plane,indiza
planet,iplanethi
plant,plant
play,udlale
please,sicela
plural,ubuningi
poem,inkondlo
point,phuzu
poor,abampofu
populate,populate
port,echwebeni
pose,abalona
position,isikhundla
possible,kunokwenzeka
post,post
pound,ipondo
power,amandla
practice,umkhuba
prepare,ukulungiselela
present,okwamanje
press,cindezela
pretty,muhle
print,ukubhala
probable,kungenzeka
problem,inkinga
process,inqubo
produce,khiqiza
product,umkhiqizo
proper,efanele
property,impahla
protect,ukuvikela
prove,afakazele
provide,ukuhlinzeka
pull,donsa
push,phusha
put,abeke
quart,ayilitha
question,umbuzo
quick,okusheshayo
quiet,onokuthula
quite,ngempela
quotient,sekwa
race,uhlanga
radio,umsakazo
rail,ujantshi
rain,nemvula
raise,iphakamisa
ran,wagijimela
range,uhla
rather,kunalokho
reach,afinyelele
read,funda
ready,ngomumo
real,kwangempela
reason,isizathu
receive,thola
record,amarekhodi
red,obomvu
region,isifunda
remember,ukhumbule
repeat,uphinda
reply,phendula
represent,bamele
require,adinga
rest,ukuphumula
result,japan
rich,ocebile
ride,gibela
right,kwesokudla
ring,nkeneza
rise,sukuma
river,emfuleni
road,umgwaqo
rock,idwala
roll,qoqa
room,igumbi
root,impande
rope,ngentambo
rose,wasukuma
round,nxazonke
row,irowu
rub,deda
rule,ukubusa
run,sigijime
safe,ephephile
said,uthe
sail,useyili
salt,usawoti
same,efanayo
sand,isihlabathi
sat,wahlala
save,ukusindisa
saw,okwabonwa
say,bathi
scale,isikali
school,esikoleni
science,isayensi
score,isikolo
sea,ulwandle
search,cinga
season,isizini
seat,esihlalweni
second,kwesibili
section,ingxenye
see,bheka
seed,inzalo
seem,babonakala
segment,ingxenye
select,ukhethe
self,wokuzilimaza
sell,adayise
send,thumela
sense,ngomqondo
sent,wathumela
sentence,uhlamvu
separate,ahlukene
serve,ukukhonza
set,setha
settle,hlela
seven,eziyisikhombisa
several,eziningana
shall,kufanele
shape,uhlobo
share,ingxenye
sharp,ebukhali
she,yena
sheet,ishidi
shell,igobolondo le
shine,inkazimulo
ship,umkhumbi
shoe,izicathulo
shop,esitolo
shore,isisekelo
short,okufutshane
should,kufanele
shoulder,ehlombe
shout,memeza
show,bonisa
side,side
sight,ukubuka
sign,isibonakaliso
silent,buthule
silver,zesiliva
similar,efanayo
simple,elula
since,kusukela
sing,sihlabelele
single,ongashadile
sister,udadewabo
sit,ahlale
six,eziyisithupha
size,usayizi
skill,ikhono
skin,isikhumba
sky,isibhakabhaka
slave,nceku
sleep,sokulala
slip,ukushelela
slow,wephuza
small,amancane
smell,iphunga
smile,emomotheka
snow,iqhwa
so,kanjalo
soft,esithambile
soil,inhlabathi
soldier,sosha
solution,isixazululo
solve,ukuxazulula
some,kwezinye
son,indodana
song,song
soon,ngokushesha
sound,kuzwakale
south,eningizimu
space,isikhala
speak,ukhulume
special,ekhethekile
speech,inkulumo
speed,isivinini
spell,luzosho
spend,khipha
spoke,wakhuluma
spot,indawo
spread,ukusabalala
spring,entwasahlobo
square,igceke
stand,nime
star,ikhwezi
start,isiqalo
state,isimo
station,esiteshini
stay,uhlale
stead,esikhundleni
steam,umusi
steel,zensimbi
step,isinyathelo
stick,uthi
still,namanje
stone,tshe
stood,wema
stop,ima
store,esitolo
story,indaba
straight,iqonde
strange,ongaziwa
stream,emfudlaneni
street,isitaladi
stretch,elula
string,intambo
strong,oqinile
student,ofundayo
study,ukutadisha
subject,isihloko
substance,isiqa
subtract,khipha
success,impumelelo
such,enjalo
sudden,engazelelwe
suffix,isijobelelo
sugar,ushukela
suggest,basikisela
suit,izembatho
summer,ehlobo
sun,sun
supply,phakela
support,ukwesekwa
sure,isiqiniseko
surface,ngaphandle
surprise,ngamangala
swim,bhukuda
syllable,uhlamvu
symbol,uphawu
system,uhlelo
table,ithebula
tail,umsila
take,kuthathe
talk,inkulumo
tall,abade
teach,sifundise
team,ithimba
teeth,amazinyo
tell,ukutshela
temperature,lokushisa
ten,eziyishumi
term,ithemu
test,ukulinga
than,kunalokho
thank,ngiyabonga
that,ukuthi
the,lo
their,yabo
them,nabo
then,ke
there,khona
these,la
they,bona
thick,aminyene
thin,mncane
thing,into
think,acabange
third,okwesithathu
this,le
those,nalabo
though,noma
thought,bacabanga
thousand,abayizinkulungwane
three,amathathu
through,ngokusebenzisa
throw,aphonse
thus,kanjalo
tie,ukulingana
time,nesikhathi
tiny,omncanyana
tire,isondo
to,kuya
together,ndawonye
told,utshele
tone,umbala
too,futhi
took,wathatha
tool,ithuluzi
top,phezulu
total,inani
touch,uthinte
toward,bubheke
town,town
track,ithrekhi
trade,ezohwebo
train,isitimela
travel,hamba amazwe
tree,isihlahla
triangle,calantsatfu
trip,uhambo
trouble,enkingeni
truck,iloli
true,kuyiqiniso
try,sizame
tube,umbhobho
turn,baphendukela
twenty,amabili
two,ezimbili
type,uhlobo
under,ngaphansi
unit,unit
until,kuze
up,up
us,nathi
use,ukusetshenziswa
usual,evamile
valley,isigodi
value,azisa
vary,ziyehluka
verb,sento
very,kakhulu
view,buka
village,emzaneni
visit,ukuvakasha
voice,ngezwi
vowel,unkamisa
wait,ulinde
walk,uhambe
wall,udonga
want,bafuna
war,ukulwa
warm,afudumele
was,kwaba
wash,ukuhlamba
watch,qaphela
water,kwamanzi
wave,qhweba
way,indlela
we,thina
wear,bagqoke
weather,sezulu
week,ngesonto
weight,isisindo
well,kahle
went,waya
were,babengamadoda
west,ngasentshonalanga
what,lokho
wheel,sondo
when,lapho
where,lapho
whether,noma
which,okuyinto
while,ngenkathi
white,elimhlophe
who,ngubani
whole,wonke
whose,ogama
why,kungani
wide,ububanzi
wife,umkakho
wild,sasendle
will,kuthanda
win,ukuphumelela
wind,ovunguzayo
window,iwindi
wing,iphiko
winter,ubusika
wire,ucingo
wish,ufisa
with,nge
woman,owesifazane
women,abesifazane
wonder,bayazibuza
won’t,ngeke
wood,izinkuni
word,igama
work,umsebenzi
world,umhlaba
would,belungafica
write,ukubhala
written,ebhaliwe
wrong,okungalungile
wrote,wabhala
yard,egcekeni
year,ngonyaka
yellow,ophuzi
yes,yebo
yet,nokho
you,wena
young,young
your,sakho
