season_start,season_end,name,country,club,clean_sheets
2004,2005,Petr Čech,Czech Republic,Chelsea,24
2005,2006,Pepe Reina,Spain,Liverpool,20
2006,2007,Pepe Reina,Spain,Liverpool,19
2007,2008,Pepe Reina,Spain,Liverpool,18
2008,2009,Edwin van der Sar,Netherlands,Manchester United,21
2009,2010,Petr Čech,Czech Republic,Chelsea,17
2010,2011,Joe Hart,England,Manchester City,18
2011,2012,Joe Hart,England,Manchester City,17
2012,2013,Joe Hart,England,Manchester City,18
2013,2014,Petr Čech,Czech Republic,Chelsea,16
2013,2014,Wojciech Szczęsny,Poland,Arsenal,16
2014,2015,Joe Hart,England,Manchester City,14
2015,2016,Petr Čech,Czech Republic,Arsenal,16
2016,2017,Thibaut Courtois,Belgium,Chelsea,16
2017,2018,David de Gea,Spain,Manchester United,18
2018,2019,Alisson,Brazil,Liverpool,21
2019,2020,Ederson,Brazil,Manchester City,16
2020,2021,Ederson,Brazil,Manchester City,19
2021,2022,Alisson,Brazil,Liverpool,20
2021,2022,Ederson,Brazil,Manchester City,20
2022,2023,David de Gea,Spain,Manchester United,17
