country,region,subregion,population
Comoros,Africa,Eastern Africa,869595
Djibouti,Africa,Eastern Africa,988002
Eritrea,Africa,Eastern Africa,5352000
Somalia,Africa,Eastern Africa,15893219
Chad,Africa,Middle Africa,16425859
Algeria,Africa,Northern Africa,44700000
Egypt,Africa,Northern Africa,102334403
Libya,Africa,Northern Africa,6871287
Morocco,Africa,Northern Africa,36910558
Sudan,Africa,Northern Africa,43849269
Tunisia,Africa,Northern Africa,11818618
Mauritania,Africa,Western Africa,4649660
Bahrain,Asia,Western Asia,1701583
Iraq,Asia,Western Asia,40222503
Israel,Asia,Western Asia,9216900
Jordan,Asia,Western Asia,10203140
Kuwait,Asia,Western Asia,4270563
Lebanon,Asia,Western Asia,6825442
Oman,Asia,Western Asia,5106622
Qatar,Asia,Western Asia,2881060
Saudi Arabia,Asia,Western Asia,34813867
Syria,Asia,Western Asia,17500657
United Arab Emirates,Asia,Western Asia,9890400
Yemen,Asia,Western Asia,29825968
