country,name,location,stadium
Austria,Austria Klagenfurt,Klagenfurt,Wörthersee Stadion
Austria,Austria Lustenau,Lustenau,Reichshofstadion
Austria,Austria Wien,Vienna,Generali Arena
Austria,LASK,Linz,Raiffeisen Arena
Austria,Rapid Wien,Vienna,Allianz Stadion
Austria,Red Bull Salzburg,Wals-Siezenheim,Red Bull Arena
Austria,Rheindorf Altach,Altach,Stadion Schnabelholz
Austria,Sturm Graz,Graz,Merkur-Arena
Austria,SV Ried,Ried im Innkreis,Keine Sorgen Arena
Austria,TSV Hartberg,Hartberg,Profertil Arena Hartberg
Austria,Wolfsberger AC,Wolfsberg,Lavanttal-Arena
Austria,WSG Tirol,Innsbruck,Tivoli Stadion Tirol
Scotland,Aberdeen,Aberdeen,
Scotland,Celtic,Glasgow,
Scotland,Dundee United,Dundee,
Scotland,Heart of Midlothian,Edinburgh,
Scotland,Hibernian,Edinburgh,
Scotland,Kilmarnock,Kilmarnock,
Scotland,Livingston,Livingston,
Scotland,Motherwell,Motherwell,
Scotland,Rangers,Glasgow,
Scotland,Ross County,Dingwall,
Scotland,St Johnstone,Perth,
Scotland,St Mirren,Paisley,
Italy,Atalanta,Bergamo,
Italy,Bologna,Bologna,
Italy,Cremonese,Cremona,
Italy,Empoli,Empoli,
Italy,Fiorentina,Florence,
Italy,Sampdoria,Genoa,
Italy,Spezia,La Spezia,
Italy,Lecce,Lecce,
Italy,name,location,
Italy,AC Milan,Milan,
Italy,Inter Milan,Milan,
Italy,Monza,Monza,
Italy,Napoli,Naples,
Italy,Lazio,Rome,
Italy,Roma,Rome,
Italy,Salernitana,Salerno,
Italy,Sassuolo,Sassuolo,
Italy,Juventus,Turin,
Italy,Torino,Turin,
Italy,Udinese,Udine,
Italy,Hellas Verona,Verona,
Portugal,Arouca,Arouca,
Portugal,Benfica,Lisbon,
Portugal,Boavista,Porto,
Portugal,Braga,Braga,
Portugal,Casa Pia,Lisbon,
Portugal,Chaves,Chaves,
Portugal,Estoril,Estoril,
Portugal,Famalicão,Vila Nova de Famalicão,
Portugal,Gil Vicente,Barcelos,
Portugal,Marítimo,Funchal,
Portugal,Paços de Ferreira,Paços de Ferreira,
Portugal,Portimonense,Portimão,
Portugal,Porto,Porto,
Portugal,Rio Ave,Vila do Conde,
Portugal,Santa Clara,Ponta Delgada,
Portugal,Sporting CP,Lisbon,
Portugal,Vitória de Guimarães,Guimarães,
Portugal,Vizela,Vizela,
Spain,Almería,Almería,
Spain,Athletic Bilbao,Bilbao,
Spain,Atlético Madrid,Madrid,
Spain,Barcelona,Barcelona,
Spain,Cádiz,Cádiz,
Spain,Celta Vigo,Vigo,
Spain,Elche,Elche,
Spain,Espanyol,Cornellà de Llobregat,
Spain,Getafe,Getafe,
Spain,Girona,Girona,
Spain,Mallorca,Palma,
Spain,Osasuna,Pamplona,
Spain,Rayo Vallecano,Madrid,
Spain,Real Betis,Seville,
Spain,Real Madrid,Madrid,
Spain,Real Sociedad,San Sebastián,
Spain,Real Valladolid,Valladolid,
Spain,Sevilla,Seville,
Spain,Valencia,Valencia,
Spain,Villarreal,Villarreal,
Belgium,Club Brugge,,
Belgium,Anderlecht,,
Belgium,Genk,,
Belgium,Standard Liège,,
Belgium,Gent,,
Belgium,Zulte Waregem,,
Belgium,Charleroi,,
Belgium,Kortrijk,,
Belgium,Oostende,,
Belgium,Antwerp,,
Belgium,Lokeren,,
Belgium,Sint-Truiden,,
Belgium,Union SG,,
France,Ajaccio,,
France,Angers,,
France,Auxerre,,
France,Brest,,
France,Clermont,,
France,Lens,,
France,Lille,,
France,Lorient,,
France,Lyon,,
France,Marseille,,
France,AS Monaco,,
France,Montpellier,,
France,Nantes,,
France,Nice,,
France,Paris Saint-Germain,,
France,Reims,,
France,Rennes,,
France,Strasbourg,,
France,Toulouse,,
France,Troyes,,
Netherlands,Ajax,Amsterdam,
Netherlands,AZ,Alkmaar,
Netherlands,Cambuur,Leeuwarden,
Netherlands,FC Emmen,Emmen,
Netherlands,Excelsior,Rotterdam,
Netherlands,Feyenoord,Rotterdam,
Netherlands,Fortuna Sittard,Sittard,
Netherlands,Go Ahead Eagles,Deventer,
Netherlands,FC Groningen,Groningen,
Netherlands,SC Heerenveen,Heerenveen,
Netherlands,NEC,Nijmegen,
Netherlands,PSV,Eindhoven,
Netherlands,RKC Waalwijk,Waalwijk,
Netherlands,Sparta Rotterdama,Rotterdam,
Netherlands,FC Twente,Enschede,
Netherlands,FC Utrecht,Utrecht,
Netherlands,Vitesse,Arnhem,
Netherlands,FC Volendam,Volendam,
England,Arsenal,London,
England,Aston Villa,Birmingham,
England,Bournemouth,,
England,Brentford,London,
England,Brighton & Hove Albion,Brighton & Hove,
England,Chelsea,London,
England,Crystal Palace,London,
England,Everton,Liverpool,
England,Fulham,London,
England,Leeds United,,
England,Leicester City,Leicester City,
England,Liverpool,Liverpool,
England,Manchester City,Manchester,
England,Manchester United,Manchester,
England,Newcastle United,,
England,Nottingham Forest,Nottinghamshire,
England,Southampton,Southampton,
England,Tottenham Hotspur,London,
England,West Ham United,London,
England,Wolverhampton Wanderers,Wolverhampton,
